model,nowcast_date,run_time,run_time_mins,run_time_hrs
"Reference: Fixed, Report: Fixed",2021-10-01,1297.3,21.6216666666667,0.360361111111111
"Reference: Fixed, Report: Fixed",2021-10-02,1264.9,21.0816666666667,0.351361111111111
"Reference: Fixed, Report: Fixed",2021-10-03,1029.1,17.1516666666667,0.285861111111111
"Reference: Fixed, Report: Fixed",2021-10-04,1119.4,18.6566666666667,0.310944444444445
"Reference: Fixed, Report: Fixed",2021-10-05,1022.4,17.04,0.284
"Reference: Fixed, Report: Fixed",2021-10-06,1084.6,18.0766666666667,0.301277777777778
"Reference: Fixed, Report: Fixed",2021-10-07,1059.9,17.665,0.294416666666667
"Reference: Fixed, Report: Fixed",2021-10-08,1339.3,22.3216666666667,0.372027777777778
"Reference: Fixed, Report: Fixed",2021-10-09,1318.4,21.9733333333333,0.366222222222222
"Reference: Fixed, Report: Fixed",2021-10-10,1320.4,22.0066666666667,0.366777777777778
"Reference: Fixed, Report: Fixed",2021-10-11,1300.9,21.6816666666667,0.361361111111111
"Reference: Fixed, Report: Fixed",2021-10-12,1290.9,21.515,0.358583333333333
"Reference: Fixed, Report: Fixed",2021-10-13,1312.8,21.88,0.364666666666667
"Reference: Fixed, Report: Fixed",2021-10-14,1313.3,21.8883333333333,0.364805555555556
"Reference: Fixed, Report: Fixed",2021-10-15,1291,21.5166666666667,0.358611111111111
"Reference: Fixed, Report: Fixed",2021-10-16,1294.7,21.5783333333333,0.359638888888889
"Reference: Fixed, Report: Fixed",2021-10-17,1254.3,20.905,0.348416666666667
"Reference: Fixed, Report: Fixed",2021-10-18,1236.3,20.605,0.343416666666667
"Reference: Fixed, Report: Fixed",2021-10-19,1213,20.2166666666667,0.336944444444444
"Reference: Fixed, Report: Fixed",2021-10-20,1258.8,20.98,0.349666666666667
"Reference: Fixed, Report: Fixed",2021-10-21,1273,21.2166666666667,0.353611111111111
"Reference: Fixed, Report: Fixed",2021-10-22,1276.2,21.27,0.3545
"Reference: Fixed, Report: Fixed",2021-10-23,1284.6,21.41,0.356833333333333
"Reference: Fixed, Report: Fixed",2021-10-24,1258,20.9666666666667,0.349444444444444
"Reference: Fixed, Report: Fixed",2021-10-25,1239.3,20.655,0.34425
"Reference: Fixed, Report: Fixed",2021-10-26,1251.6,20.86,0.347666666666667
"Reference: Fixed, Report: Fixed",2021-10-27,1153,19.2166666666667,0.320277777777778
"Reference: Fixed, Report: Fixed",2021-10-28,1205.1,20.085,0.33475
"Reference: Fixed, Report: Fixed",2021-10-29,833.3,13.8883333333333,0.231472222222222
"Reference: Fixed, Report: Fixed",2021-10-30,844.6,14.0766666666667,0.234611111111111
"Reference: Fixed, Report: Fixed",2021-10-31,822,13.7,0.228333333333333
"Reference: Fixed, Report: Fixed",2021-11-01,1602.5,26.7083333333333,0.445138888888889
"Reference: Fixed, Report: Fixed",2021-11-02,2003.8,33.3966666666667,0.556611111111111
"Reference: Fixed, Report: Fixed",2021-11-03,2076.6,34.61,0.576833333333333
"Reference: Fixed, Report: Fixed",2021-11-04,1988.4,33.14,0.552333333333333
"Reference: Fixed, Report: Fixed",2021-11-05,1321.1,22.0183333333333,0.366972222222222
"Reference: Fixed, Report: Fixed",2021-11-06,1314.9,21.915,0.36525
"Reference: Fixed, Report: Fixed",2021-11-07,1274.6,21.2433333333333,0.354055555555556
"Reference: Fixed, Report: Fixed",2021-11-08,1230.7,20.5116666666667,0.341861111111111
"Reference: Fixed, Report: Fixed",2021-11-09,1270.5,21.175,0.352916666666667
"Reference: Fixed, Report: Fixed",2021-11-10,1296.1,21.6016666666667,0.360027777777778
"Reference: Fixed, Report: Fixed",2021-11-11,1330.4,22.1733333333333,0.369555555555556
"Reference: Fixed, Report: Fixed",2021-11-12,1363.9,22.7316666666667,0.378861111111111
"Reference: Fixed, Report: Fixed",2021-11-13,1386,23.1,0.385
"Reference: Fixed, Report: Fixed",2021-11-14,1379.1,22.985,0.383083333333333
"Reference: Fixed, Report: Fixed",2021-11-15,1379.2,22.9866666666667,0.383111111111111
"Reference: Fixed, Report: Fixed",2021-11-16,1386.4,23.1066666666667,0.385111111111111
"Reference: Fixed, Report: Fixed",2021-11-17,1406.8,23.4466666666667,0.390777777777778
"Reference: Fixed, Report: Fixed",2021-11-18,1432.8,23.88,0.398
"Reference: Fixed, Report: Fixed",2021-11-19,1457.2,24.2866666666667,0.404777777777778
"Reference: Fixed, Report: Fixed",2021-11-20,1476.5,24.6083333333333,0.410138888888889
"Reference: Fixed, Report: Fixed",2021-11-21,1415.2,23.5866666666667,0.393111111111111
"Reference: Fixed, Report: Fixed",2021-11-22,1394.2,23.2366666666667,0.387277777777778
"Reference: Fixed, Report: Fixed",2021-11-23,1400,23.3333333333333,0.388888888888889
"Reference: Fixed, Report: Fixed",2021-11-24,1187.8,19.7966666666667,0.329944444444444
"Reference: Fixed, Report: Fixed",2021-11-25,1224.5,20.4083333333333,0.340138888888889
"Reference: Fixed, Report: Fixed",2021-11-26,2598.4,43.3066666666667,0.721777777777778
"Reference: Fixed, Report: Fixed",2021-11-27,1706.8,28.4466666666667,0.474111111111111
"Reference: Fixed, Report: Fixed",2021-11-28,1111.8,18.53,0.308833333333333
"Reference: Fixed, Report: Fixed",2021-11-29,1170.9,19.515,0.32525
"Reference: Fixed, Report: Fixed",2021-11-30,1163.7,19.395,0.32325
"Reference: Fixed, Report: Fixed",2021-12-01,1085,18.0833333333333,0.301388888888889
"Reference: Fixed, Report: Fixed",2021-12-02,1290.2,21.5033333333333,0.358388888888889
"Reference: Fixed, Report: Fixed",2021-12-03,1935.5,32.2583333333333,0.537638888888889
"Reference: Fixed, Report: Fixed",2021-12-04,1684.8,28.08,0.468
"Reference: Fixed, Report: Fixed",2021-12-05,1137.2,18.9533333333333,0.315888888888889
"Reference: Fixed, Report: Fixed",2021-12-06,1259.1,20.985,0.34975
"Reference: Fixed, Report: Fixed",2021-12-07,1204.2,20.07,0.3345
"Reference: Fixed, Report: Fixed",2021-12-08,2107.3,35.1216666666667,0.585361111111111
"Reference: Fixed, Report: Fixed",2021-12-09,1170,19.5,0.325
"Reference: Fixed, Report: Fixed",2021-12-10,1186.3,19.7716666666667,0.329527777777778
"Reference: Fixed, Report: Fixed",2021-12-11,1233.5,20.5583333333333,0.342638888888889
"Reference: Fixed, Report: Fixed",2021-12-12,1305.2,21.7533333333333,0.362555555555556
"Reference: Fixed, Report: Fixed",2021-12-13,1151.3,19.1883333333333,0.319805555555556
"Reference: Fixed, Report: Fixed",2021-12-14,1256.8,20.9466666666667,0.349111111111111
"Reference: Fixed, Report: Fixed",2021-12-15,1303,21.7166666666667,0.361944444444444
"Reference: Fixed, Report: Fixed",2021-12-16,2173.6,36.2266666666667,0.603777777777778
"Reference: Fixed, Report: Fixed",2021-12-17,2152,35.8666666666667,0.597777777777778
"Reference: Fixed, Report: Fixed",2021-12-18,1167.6,19.46,0.324333333333333
"Reference: Fixed, Report: Fixed",2021-12-19,2150.5,35.8416666666667,0.597361111111111
"Reference: Fixed, Report: Fixed",2021-12-20,1983.1,33.0516666666667,0.550861111111111
"Reference: Fixed, Report: Fixed",2021-12-21,1491.8,24.8633333333333,0.414388888888889
"Reference: Fixed, Report: Fixed",2021-12-22,1154.2,19.2366666666667,0.320611111111111
"Reference: Fixed, Report: Fixed",2021-12-23,2084.2,34.7366666666667,0.578944444444444
"Reference: Fixed, Report: Fixed",2021-12-24,1310,21.8333333333333,0.363888888888889
"Reference: Fixed, Report: Fixed",2021-12-25,1203.1,20.0516666666667,0.334194444444444
"Reference: Fixed, Report: Fixed",2021-12-26,1124.1,18.735,0.31225
"Reference: Fixed, Report: Fixed",2021-12-27,1706.4,28.44,0.474
"Reference: Fixed, Report: Fixed",2021-12-28,1287.9,21.465,0.35775
"Reference: Fixed, Report: Fixed",2021-12-29,2042,34.0333333333333,0.567222222222222
"Reference: Fixed, Report: Fixed",2021-12-30,1176.8,19.6133333333333,0.326888888888889
"Reference: Fixed, Report: Fixed",2021-12-31,2041.7,34.0283333333333,0.567138888888889
"Reference: Fixed, Report: Fixed",2022-01-01,1985.1,33.085,0.551416666666667
"Reference: Fixed, Report: Fixed",2022-01-02,1950.9,32.515,0.541916666666667
"Reference: Fixed, Report: Fixed",2022-01-03,1131.6,18.86,0.314333333333333
"Reference: Fixed, Report: Fixed",2022-01-04,1231.6,20.5266666666667,0.342111111111111
"Reference: Fixed, Report: Fixed",2022-01-05,1217.7,20.295,0.33825
"Reference: Fixed, Report: Fixed",2022-01-06,1271.4,21.19,0.353166666666667
"Reference: Fixed, Report: Fixed",2022-01-07,1786.1,29.7683333333333,0.496138888888889
"Reference: Fixed, Report: Fixed",2022-01-08,1266,21.1,0.351666666666667
"Reference: Fixed, Report: Fixed",2022-01-09,1311.5,21.8583333333333,0.364305555555556
"Reference: Fixed, Report: Fixed",2022-01-10,1899.4,31.6566666666667,0.527611111111111
"Reference: Fixed, Report: Fixed",2022-01-11,1393.2,23.22,0.387
"Reference: Fixed, Report: Fixed",2022-01-12,2022.4,33.7066666666667,0.561777777777778
"Reference: Fixed, Report: Fixed",2022-01-13,2065.3,34.4216666666667,0.573694444444444
