horizon,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
0,"Reference: Fixed, Report: Fixed",31.4,22.5,6.1,2.53,0.075,0.0145,53,natural
0,"Reference: Fixed, Report: Day of week",41.8,13.3,16.6,11.7,-0.153,0.0179,78.3,natural
0,"Reference: Age, Report: Day of week",48,13.1,22.9,11.8,-0.16,-0.123,85.9,natural
0,"Reference: Age and week, Report: Day of week",49.4,13.4,23.4,12.4,-0.161,-0.116,87.7,natural
0,"Reference: Age and week by age, Report: Day of week",62.3,16,37.4,8.57,-0.21,-0.186,107,natural
0,"Independent by age, Reference: Week, Report: Day of week",42.4,16.3,13.2,12.5,-0.0668,-0.0945,80.1,natural
0,"Independent by age, Reference: Week and day of week, Report: Day of week",32.5,15.9,7.54,8.8,0.00375,-0.101,59.4,natural
-7,"Reference: Fixed, Report: Fixed",0.0493,0.0174,0.0183,0.0134,-0.103,-0.198,0.0942,log
-7,"Reference: Fixed, Report: Day of week",0.0592,0.0148,0.0233,0.021,-0.22,-0.139,0.101,log
-7,"Reference: Age, Report: Day of week",0.0583,0.0154,0.022,0.0205,-0.205,-0.126,0.101,log
-7,"Reference: Age and week, Report: Day of week",0.0596,0.0154,0.0227,0.021,-0.209,-0.116,0.102,log
-7,"Reference: Age and week by age, Report: Day of week",0.0632,0.0163,0.0264,0.0198,-0.192,-0.214,0.109,log
-7,"Independent by age, Reference: Week, Report: Day of week",0.048,0.0157,0.0245,0.00728,-0.142,-0.324,0.0902,log
-7,"Independent by age, Reference: Week and day of week, Report: Day of week",0.048,0.016,0.025,0.00655,-0.136,-0.33,0.0896,log
-6,"Reference: Fixed, Report: Fixed",0.0658,0.0193,0.0268,0.0197,-0.172,-0.189,0.119,log
-6,"Reference: Fixed, Report: Day of week",0.067,0.0161,0.0274,0.0235,-0.238,-0.137,0.114,log
-6,"Reference: Age, Report: Day of week",0.0688,0.0164,0.0281,0.0238,-0.243,-0.134,0.117,log
-6,"Reference: Age and week, Report: Day of week",0.0713,0.0165,0.0297,0.0246,-0.249,-0.13,0.119,log
-6,"Reference: Age and week by age, Report: Day of week",0.0747,0.0179,0.0359,0.0202,-0.223,-0.274,0.128,log
-6,"Independent by age, Reference: Week, Report: Day of week",0.0556,0.0174,0.029,0.00866,-0.166,-0.33,0.1,log
-6,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0543,0.0175,0.0288,0.00747,-0.149,-0.346,0.0986,log
-5,"Reference: Fixed, Report: Fixed",0.0844,0.0218,0.0372,0.0255,-0.21,-0.163,0.149,log
-5,"Reference: Fixed, Report: Day of week",0.0757,0.0177,0.0309,0.0272,-0.242,-0.113,0.129,log
-5,"Reference: Age, Report: Day of week",0.0848,0.0191,0.0476,0.0178,-0.25,-0.304,0.14,log
-5,"Reference: Age and week, Report: Day of week",0.0857,0.0191,0.0477,0.0186,-0.249,-0.3,0.141,log
-5,"Reference: Age and week by age, Report: Day of week",0.0894,0.0204,0.0531,0.0158,-0.244,-0.382,0.147,log
-5,"Independent by age, Reference: Week, Report: Day of week",0.0633,0.0199,0.0328,0.0101,-0.172,-0.323,0.114,log
-5,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0599,0.0198,0.0314,0.00816,-0.142,-0.341,0.109,log
