age_group,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
00+,"Reference: Fixed, Report: Fixed",88.1,30.4,50.4,7.14,-0.149,-0.267,147,natural
00+,"Reference: Fixed, Report: Day of week",77.6,17.5,44.5,15.5,-0.275,-0.239,130,natural
00+,"Reference: Age, Report: Day of week",96,18.6,63,13.8,-0.295,-0.386,155,natural
00+,"Reference: Age and week, Report: Day of week",97.8,18.9,63.4,14.8,-0.293,-0.372,157,natural
00+,"Reference: Age and week by age, Report: Day of week",120,22.2,86.8,10.2,-0.315,-0.514,190,natural
00+,"Independent by age, Reference: Week, Report: Day of week",79.9,21.3,42.5,15.2,-0.227,-0.299,137,natural
00+,"Independent by age, Reference: Week and day of week, Report: Day of week",67.2,20.9,32.3,13.3,-0.172,-0.294,114,natural
00-04,"Reference: Fixed, Report: Fixed",3,1.25,0.318,1.42,-0.0788,0.383,5.49,natural
00-04,"Reference: Fixed, Report: Day of week",3.39,1.18,0.173,2.03,-0.134,0.492,6.05,natural
00-04,"Reference: Age, Report: Day of week",3.23,1.15,0.44,1.62,-0.0947,0.336,5.74,natural
00-04,"Reference: Age and week, Report: Day of week",3.31,1.16,0.462,1.66,-0.096,0.335,5.84,natural
00-04,"Reference: Age and week by age, Report: Day of week",3.26,1.2,0.759,1.27,-0.0798,0.176,5.89,natural
00-04,"Independent by age, Reference: Week, Report: Day of week",2.41,1.02,0.98,0.378,-0.0143,-0.165,4.49,natural
00-04,"Independent by age, Reference: Week and day of week, Report: Day of week",2.37,1.04,0.93,0.369,-0.0107,-0.169,4.46,natural
05-14,"Reference: Fixed, Report: Fixed",2.76,1.18,0.353,1.22,-0.076,0.263,5.11,natural
05-14,"Reference: Fixed, Report: Day of week",3.53,1.12,0.242,2.17,-0.13,0.374,6.13,natural
05-14,"Reference: Age, Report: Day of week",3.23,1.09,0.388,1.74,-0.103,0.251,5.68,natural
05-14,"Reference: Age and week, Report: Day of week",3.29,1.1,0.407,1.78,-0.106,0.257,5.77,natural
05-14,"Reference: Age and week by age, Report: Day of week",3.24,1.13,0.7,1.4,-0.098,0.123,5.72,natural
05-14,"Independent by age, Reference: Week, Report: Day of week",2.46,0.966,1.05,0.424,-0.0429,-0.131,4.54,natural
05-14,"Independent by age, Reference: Week and day of week, Report: Day of week",2.44,0.98,1.06,0.375,-0.0384,-0.155,4.48,natural
15-34,"Reference: Fixed, Report: Fixed",9.13,3.99,2.87,2.22,-0.0952,0.0532,16.3,natural
15-34,"Reference: Fixed, Report: Day of week",9.26,2.97,2.01,4.26,-0.158,0.187,16.2,natural
15-34,"Reference: Age, Report: Day of week",9.56,2.97,3.4,3.12,-0.144,-0.0234,16.5,natural
