nowcast_date,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
2021-10-01,"Reference: Fixed, Report: Fixed",7.33,3.71,0.874,2.71,-0.0824,0.418,13.1,natural
2021-10-01,"Reference: Fixed, Report: Day of week",6.3,2.22,2.6,1.41,-0.0808,0.197,10.6,natural
2021-10-01,"Reference: Age, Report: Day of week",8.68,2.1,5.78,0.679,-0.102,-0.0804,14.8,natural
2021-10-01,"Reference: Age and week, Report: Day of week",8.61,2.13,5.67,0.702,-0.0922,-0.0795,14.5,natural
2021-10-01,"Reference: Age and week by age, Report: Day of week",16,2.06,13.7,0.161,-0.165,-0.377,23.6,natural
2021-10-01,"Independent by age, Reference: Week, Report: Day of week",6.5,2.34,3.48,0.599,0.00468,-0.0866,11.2,natural
2021-10-01,"Independent by age, Reference: Week and day of week, Report: Day of week",5.59,2.37,2.6,0.505,0.0125,-0.115,9.49,natural
2021-10-02,"Reference: Fixed, Report: Fixed",7.66,3.67,0.693,3.28,-0.0791,0.503,13.7,natural
2021-10-02,"Reference: Fixed, Report: Day of week",7.05,2.38,1.91,2.7,-0.131,0.374,12.9,natural
2021-10-02,"Reference: Age, Report: Day of week",7.51,2.52,3.1,1.79,-0.108,0.232,13.2,natural
2021-10-02,"Reference: Age and week, Report: Day of week",7.51,2.53,3.18,1.71,-0.112,0.214,13.3,natural
2021-10-02,"Reference: Age and week by age, Report: Day of week",10.2,2.61,7.16,0.304,-0.0528,-0.156,15.4,natural
2021-10-02,"Independent by age, Reference: Week, Report: Day of week",5.9,2.63,1.76,1.42,0.0208,0.126,10.9,natural
2021-10-02,"Independent by age, Reference: Week and day of week, Report: Day of week",5.47,2.66,1.25,1.5,0.013,0.114,10.5,natural
2021-10-03,"Reference: Fixed, Report: Fixed",6.83,2.82,2.84,1.05,-0.0239,0.119,11.1,natural
2021-10-03,"Reference: Fixed, Report: Day of week",9.87,2.56,2.45,4.8,-0.203,0.406,17.7,natural
2021-10-03,"Reference: Age, Report: Day of week",9.3,2.82,3.51,2.9,-0.15,0.269,16.4,natural
2021-10-03,"Reference: Age and week, Report: Day of week",9.57,2.86,3.78,2.86,-0.146,0.245,16.4,natural
2021-10-03,"Reference: Age and week by age, Report: Day of week",11.4,2.69,6.76,1.84,-0.154,0.0116,18.4,natural
2021-10-03,"Independent by age, Reference: Week, Report: Day of week",8.17,2.82,2.37,2.9,-0.0822,0.196,15.6,natural
2021-10-03,"Independent by age, Reference: Week and day of week, Report: Day of week",6.52,2.67,1.72,2.08,-0.042,0.156,12.8,natural
2021-10-04,"Reference: Fixed, Report: Fixed",11.7,2.21,8.76,0.546,-0.175,-0.256,18.8,natural
2021-10-04,"Reference: Fixed, Report: Day of week",12.9,2.8,3.31,6.74,-0.257,0.35,21.5,natural
2021-10-04,"Reference: Age, Report: Day of week",11.8,2.76,4.3,4.68,-0.214,0.238,19.5,natural
2021-10-04,"Reference: Age and week, Report: Day of week",11.8,2.81,4.29,4.69,-0.21,0.251,19.6,natural
2021-10-04,"Reference: Age and week by age, Report: Day of week",13.4,3.09,5.72,4.51,-0.178,0.134,21.7,natural
2021-10-04,"Independent by age, Reference: Week, Report: Day of week",10.5,2.92,3.91,3.59,-0.114,0.0464,18.2,natural
2021-10-04,"Independent by age, Reference: Week and day of week, Report: Day of week",7.56,2.69,2.73,2.06,-0.0523,0.0661,13.8,natural
