location,location_name,date,true_value
AT,Austria,2022-01-15,91687
AT,Austria,2022-01-22,149209
AT,Austria,2022-01-29,213581
AT,Austria,2022-02-05,230846
AT,Austria,2022-02-12,227313
AT,Austria,2022-02-19,205935
AT,Austria,2022-02-26,186799
AT,Austria,2022-03-05,201151
AT,Austria,2022-03-12,271543
AT,Austria,2022-03-19,323142
AT,Austria,2022-03-26,282002
AT,Austria,2022-04-02,188741
AT,Austria,2022-04-09,111271
AT,Austria,2022-04-16,73613
AT,Austria,2022-04-23,55447
AT,Austria,2022-04-30,43882
AT,Austria,2022-05-07,38877
AT,Austria,2022-05-14,32811
BE,Belgium,2022-01-15,179045
BE,Belgium,2022-01-22,286508
BE,Belgium,2022-01-29,358686
BE,Belgium,2022-02-05,240113
BE,Belgium,2022-02-12,125043
BE,Belgium,2022-02-19,73142
BE,Belgium,2022-02-26,49811
BE,Belgium,2022-03-05,42258
BE,Belgium,2022-03-12,53760
BE,Belgium,2022-03-19,67509
BE,Belgium,2022-03-26,74524
BE,Belgium,2022-04-02,68963
BE,Belgium,2022-04-09,64684
BE,Belgium,2022-04-16,57231
BE,Belgium,2022-04-23,42828
BE,Belgium,2022-04-30,40657
BE,Belgium,2022-05-07,31888
BE,Belgium,2022-05-14,28061
BG,Bulgaria,2022-01-15,39528
BG,Bulgaria,2022-01-22,59152
BG,Bulgaria,2022-01-29,61831
BG,Bulgaria,2022-02-05,54043
BG,Bulgaria,2022-02-12,42030
BG,Bulgaria,2022-02-19,31128
BG,Bulgaria,2022-02-26,21383
BG,Bulgaria,2022-03-05,13015
BG,Bulgaria,2022-03-12,11365
BG,Bulgaria,2022-03-19,11538
BG,Bulgaria,2022-03-26,9388
BG,Bulgaria,2022-04-02,7351
BG,Bulgaria,2022-04-09,4690
BG,Bulgaria,2022-04-16,4082
BG,Bulgaria,2022-04-23,3667
BG,Bulgaria,2022-04-30,3837
BG,Bulgaria,2022-05-07,2421
BG,Bulgaria,2022-05-14,2354
HR,Croatia,2022-01-15,53431
HR,Croatia,2022-01-22,58262
HR,Croatia,2022-01-29,59537
HR,Croatia,2022-02-05,49498
HR,Croatia,2022-02-12,36185
HR,Croatia,2022-02-19,23972
HR,Croatia,2022-02-26,14411
HR,Croatia,2022-03-05,9385
HR,Croatia,2022-03-12,9477
HR,Croatia,2022-03-19,10681
HR,Croatia,2022-03-26,9987
HR,Croatia,2022-04-02,8823
