model,location,forecast_date,anomaly,n_anomaly
MUNI-ARIMA,PL,2022-01-17,FALSE,0
MUNI-ARIMA,PT,2022-01-17,FALSE,0
MUNI-ARIMA,RO,2022-01-17,FALSE,0
MUNI-ARIMA,SE,2022-01-17,FALSE,0
MUNI-ARIMA,SI,2022-01-17,FALSE,0
MUNI-ARIMA,SK,2022-01-17,FALSE,0
MUNI_DMS-SEIAR,CZ,2022-01-17,FALSE,0
PL_GRedlarski-DistrictsSum,PL,2022-01-17,TRUE,1
RobertWalraven-ESG,AT,2022-01-17,TRUE,2
RobertWalraven-ESG,BE,2022-01-17,FALSE,0
RobertWalraven-ESG,BG,2022-01-17,FALSE,0
RobertWalraven-ESG,HR,2022-01-17,FALSE,0
RobertWalraven-ESG,CY,2022-01-17,FALSE,0
RobertWalraven-ESG,CZ,2022-01-17,FALSE,0
RobertWalraven-ESG,DK,2022-01-17,FALSE,0
RobertWalraven-ESG,EE,2022-01-17,FALSE,0
RobertWalraven-ESG,FI,2022-01-17,TRUE,1
RobertWalraven-ESG,FR,2022-01-17,FALSE,0
RobertWalraven-ESG,DE,2022-01-17,TRUE,2
RobertWalraven-ESG,GR,2022-01-17,FALSE,0
RobertWalraven-ESG,HU,2022-01-17,FALSE,0
RobertWalraven-ESG,IS,2022-01-17,FALSE,0
RobertWalraven-ESG,IE,2022-01-17,FALSE,0
RobertWalraven-ESG,IT,2022-01-17,FALSE,0
RobertWalraven-ESG,LV,2022-01-17,FALSE,0
RobertWalraven-ESG,LI,2022-01-17,FALSE,0
RobertWalraven-ESG,LT,2022-01-17,TRUE,4
RobertWalraven-ESG,LU,2022-01-17,FALSE,0
RobertWalraven-ESG,MT,2022-01-17,FALSE,0
RobertWalraven-ESG,NL,2022-01-17,FALSE,0
RobertWalraven-ESG,NO,2022-01-17,FALSE,0
RobertWalraven-ESG,PL,2022-01-17,TRUE,1
RobertWalraven-ESG,PT,2022-01-17,TRUE,2
RobertWalraven-ESG,RO,2022-01-17,FALSE,0
RobertWalraven-ESG,SK,2022-01-17,FALSE,0
RobertWalraven-ESG,SI,2022-01-17,FALSE,0
RobertWalraven-ESG,ES,2022-01-17,TRUE,2
RobertWalraven-ESG,SE,2022-01-17,FALSE,0
RobertWalraven-ESG,CH,2022-01-17,FALSE,0
RobertWalraven-ESG,GB,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,AT,2022-01-17,TRUE,1
SDSC_ISG-TrendModel,BE,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,BG,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,CH,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,CY,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,CZ,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,DE,2022-01-17,TRUE,1
SDSC_ISG-TrendModel,DK,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,EE,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,ES,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,FI,2022-01-17,TRUE,1
SDSC_ISG-TrendModel,FR,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,GB,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,GR,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,HR,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,HU,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,IE,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,IS,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,IT,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,LI,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,LT,2022-01-17,TRUE,1
SDSC_ISG-TrendModel,LU,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,LV,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,MT,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,NL,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,NO,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,PL,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,PT,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,RO,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,SE,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,SI,2022-01-17,FALSE,0
SDSC_ISG-TrendModel,SK,2022-01-17,FALSE,0
UC3M-EpiGraph,ES,2022-01-17,FALSE,0
ULZF-SEIRC19SI,SI,2022-01-17,FALSE,0
UVA-Ensemble,AT,2022-01-17,TRUE,2
UVA-Ensemble,BE,2022-01-17,FALSE,0
UVA-Ensemble,BG,2022-01-17,FALSE,0
UVA-Ensemble,CH,2022-01-17,FALSE,0
